0,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment .",consumers,have just decided,they
1,Rhodes discovered he had cancer last October after he felt a sharp pain in his right leg .,he,felt sharp pain in,his right leg
2,"The public was clearly fed up , and as Congress took up the issue in early 2001 the only question seemed to be one of timing , whether the necessary reforms could be enacted before the 2002 midterm elections .",Congress,took up the issue in,early 2001
3,"He was back in Atlanta last October on a non-guaranteed training camp contract , but the Hawks released him so he could sign a guaranteed deal with Panathinaikos , a Greek team that he led to the Euroleague championship .",He,was on,a non-guaranteed training camp contract
4,"In return for shelling out the $ 368.5 billion , Philip Morris , RJR Nabisco Holdings Corp. and other tobacco companies would obtain protection from future class-action lawsuits that have threatened the industry 's well-being .",protection,have threatened,the industry 's well-being
5,"The yield spread between an index of option-free 10-year `` A2 '' bank bonds and the 10-year Treasury note was 70 basis points yesterday , 2 basis points wider from a week earlier .",the 10-year Treasury note,wider from,a week
6,"The drill has a keyless chuck , a built-in level for drilling straight holes and nonslip texturing over the whole drill body to provide a firm grip .",The drill,has,a keyless chuck
7,"For one thing , members of Congress and their staffs have a traditional `` defined benefit '' program , meaning that they know exactly what they 'll get upon retirement .",members of Congress,have,a traditional `` defined benefit ' ' program
8,"He was so inspired by Snyder 's speech on how he made the program a success that when he learned Snyder had to hurry to the airport , Riley begged to go along for the ride .",he,made,the program
9,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff .",Jake,decides to give,Melanie
10,"For their part , investors kept selling off stocks in trading and deregulated power companies , spurred Monday by negative news for El Paso Corp. Better yet , Miller and Roy Oswalt have won 19 straight decisions , and since July 1 , they 're a combined 21-1 with a 2.41 ERA.",Miller,have won,' re
11,Dell stock fell 2 1,Dell stock,fell,2 1
12,"They want news of the latest United Nations debate , bulletins on the Sudanese economy , inside dope on the recent political coup in Cambodia .",They,want news of,the latest United Nations debate
13,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country .",Iraq 's announcement,was a first step toward,the `` lifting of this brutal regime of sanctions
14,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday .",a hard act,said,Ruth Brown of London
